comune,localita,date,area_ha
MONREALE,Valle Lupa,2022-09-10,19.6291
CACCAMO,M. Rotondo,2018-07-30,19.4816
SANTA CRISTINA GELA,Costa Zoria,2020-08-31,19.4758
BELMONTE MEZZAGNO,Montagnoli,2022-07-08,19.4467
BOMPIETRO,Contrada S. Filippo,2022-05-02,19.013
CACCAMO,cammarata,2020-08-17,18.8411
TORRETTA,Piano Mollica,,18.7041
MONREALE,Convento San Cosmo scavi archeologici,2018-06-07,18.6999
ALIA,Contrada Passo Concetta,2020-06-26,18.5017
MONREALE,Lago Poma,2025-09-07,18.5004
MONREALE,Monte Belliemi,2021-08-03,18.4887
CONTESSA ENTELLINA,Petraro,,18.4813
BOLOGNETTA,Torretta,2023-07-21,18.454
ALTOFONTE,Valle Di Rebuttone,2021-08-16,18.3639
PALAZZO ADRIANO,ZOTTA GRANDE CARDI,,18.3554
BAGHERIA,Porcara,2023-07-25,18.3475
CACCAMO,Cozzo Ricottelli,2020-08-17,18.2879
CALTAVUTURO,Cozzo Rosso,2021-08-04,18.2599
BELMONTE MEZZAGNO,Casale,2020-08-28,17.9352
BOLOGNETTA,Coda di Volpe,2020-08-31,17.9295
MISILMERI,Cozzo Montagnola,2021-06-27,17.9264
MONREALE,Costa Della Finocchiara,2018-07-29,17.871
BAGHERIA,Monte Catalfano,2022-05-05,17.861
CACCAMO,Roxiura,2021-09-02,17.6453
ALTOFONTE,Moarde,2025-08-10,17.6278
PRIZZI,Prizzi,2023-09-20,17.5598
MONREALE,Monte Signora,2022-09-21,17.1261
MONREALE,Poggio S. Francesco,2021-08-17,17.1095
CARINI,Costa La Mennula,2022-09-16,17.004
GODRANO,Rocca Rossa,2022-07-17,16.9668
CHIUSA SCLAFANI,Cardillo,2020-08-07,16.8703
MONREALE,Monte Signora,2021-08-10,16.8503
COLLESANO,Contrada Gargi Di Cenere,2020-07-09,16.7868
SANTA CRISTINA GELA,"Pianetto , Santa Cristina Gela (PA)",2022-09-08,16.7584
CIMINNA,SERRE DI CIMINNA,2020-08-01,16.6406
CHIUSA SCLAFANI,Valle Vite,2025-06-27,16.5744
